,Currency,Current Price,EMA200,Trendline Raw,MACD,MACD SIGNAL,MACD PREV,MACD SIGNAL PREV,atr,rsi,Trend,Trendline,Current MACD Trend,Previous MACD Trend,RSI Trend,Action,sl,tp
0,AUDCAD,0.93555,0.943891208764481,1.5404871059833685,0.0004556760942882043,0.0006873929532801292,0.0007827580118456856,0.0007781475804721125,0.0016000135532721503,46.779866194498815,sell,sloped,sell,ignore,sell,sell,0.93555,0.9315499661168196
1,AUDJPY,84.716,84.46215720978567,0.4653162438555959,0.017373166140089324,0.020274262323680656,0.0376728522815597,0.019533176212537376,0.17341357377315308,47.45104680142259,buy,sloped,sell,ignore,sell,sell,84.716,84.2824660655671
2,AUDUSD,0.77259,0.7738949264529299,0.04081617050900941,0.00017780658527377646,0.0003436550200606586,0.0005528122501857746,0.0003923958159980999,0.001880988285196611,43.42383498247246,sell,flat,sell,ignore,sell,sell,0.77259,0.7678875292870084
